Title,Author,Publication date,Publisher,Language,Pages,Editions,Rating,Aggregate approval,Want to read,Currently reading,Have read
Mr Brown can moo! Can you?,Dr. Seuss,0.02887645136913961,Random House,English,-1.462024337349593,-0.10379645898651477,3.71,0.46996432646194103,0.15809789791034135,-0.012788641123809825,0.7316621022193808
Walking,Henry David Thoreau,-0.7846216872623035,The Riverside Press,English,-1.0564122223000465,-0.10379645898651477,4.5,-0.10620131747127774,-0.08907958859357212,-0.12708801542839973,-0.12253815296243814
Bienvenue à Castel Radin,Elisabetta Dami,0.5227860355382301,Albin Michel jeunesse,French,-0.967510936809735,-0.10379645898651477,0.0,-0.22696263082477028,-0.1199767744065613,-0.12708801542839973,-0.27109471908101535
Homo Faber,Max Frisch,0.13056371869806999,Suhrkamp Verlag,German,-0.45632854524044375,-0.10379645898651477,3.57,0.1083512825867606,-0.06848146471824601,-0.012788641123809825,0.13743583774507198
Fifty shades freed,E. L. James,0.639000055342722,Arrow,English,6.260288420793835e-17,-0.10379645898651477,3.58,0.925905373989905,0.9511256671103971,0.6730076047037297,1.4744449328122669
YuYu Hakusho.,Yoshihiro Togashi,0.551839540489353,Viz Media,English,-0.5618988217601887,-0.10379645898651477,0.0,-0.22696263082477028,-0.10281167117712288,-0.12708801542839973,-0.27109471908101535
La sombra de la serpiente,Rick Riordan,0.639000055342722,Vintage Español,Spanish,0.47157862206468276,-0.10379645898651477,4.06,0.753619233605589,0.3640791366636026,0.5015585432468448,1.7715580650494211
The Very Quiet Cricket,Eric Carle,0.42109876820929965,Philomel,,6.260288420793835e-17,-0.10379645898651477,3.6,0.014559995882214774,-0.020419175675818385,-0.12708801542839973,0.13743583774507198
Dingding zai Gangguo,Hergé,0.5954197979160375,Zhongguo shao nian er tong chu ban she,Chinese,-1.2675527753395364,-0.10379645898651477,1.33,-0.17342511523805523,-0.07534750601002138,-0.012788641123809825,-0.12253815296243814
The cruel sea.,Nicholas Monsarrat,-0.24713184566652857,Knopf,English,1.2161268880460419,-0.10379645898651477,4.5,-0.10620131747127774,-0.010120113738155325,0.04436104602848513,-0.12253815296243814
Les amours.,Pierre de Ronsard,-0.8427286971645495,H. Champion,French,1.1327819328988746,-0.10379645898651477,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
Henrietta Temple,Benjamin Disraeli,-1.9031816278805378,H. Colburn,English,6.260288420793835e-17,-0.10379645898651477,0.0,-0.22696263082477028,-0.1199767744065613,-0.12708801542839973,-0.27109471908101535
Useful gifts,Carole L. Glickfeld,0.3048847484048078,University of Georgia Press,English,-0.4507722148972993,-0.10379645898651477,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
St. Urbain's horseman,Mordecai Richler,0.04340320384470109,Knopf,English,0.9827610136339741,-0.10379645898651477,0.0,-0.22696263082477028,-0.10967771246889825,-0.12708801542839973,-0.27109471908101535
Rue Saint-Urbain,Mordecai Richler,1.5580871205243187e-15,Biblio  Quebecoise,French,-0.5674551521033332,-0.10379645898651477,0.0,-0.22696263082477028,-0.11311073311478594,-0.12708801542839973,-0.27109471908101535
Rurouni Kenshin,Nobuhiro Watsuki,0.5082592830626685,VIZ,English,-0.5230045093581773,-0.10379645898651477,5.0,-0.1598730122950522,-0.10967771246889825,-0.12708801542839973,-0.23395557755137106
De provocatie,David Baldacci,0.6244733028671604,Bruna,Dutch,0.427127979319527,-0.10379645898651477,4.17,0.10875382029793894,-0.05131636148880757,-0.06993832827610479,0.13743583774507198
"Dodo, a detail of the day.",E. F. Benson,1.5580871205243187e-15,Hodder and Stoughton,,6.260288420793835e-17,-0.10379645898651477,0.0,-0.22696263082477028,-0.1268428156983367,-0.06993832827610479,-0.27109471908101535
Hours in a library,Sir Leslie Stephen,-1.3656917862847628,"Smith, Elder, & Co.",English,6.260288420793835e-17,-0.10379645898651477,0.0,-0.22696263082477028,-0.123409795052449,-0.12708801542839973,-0.27109471908101535
Our hundred days in Europe,"Oliver Wendell Holmes, Sr.",-1.1768440041024635,"Houghton, Mifflin and Co.",,6.260288420793835e-17,-0.10379645898651477,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
What is coming?,H. G. Wells,-0.7555681823111805,The Macmillan Company,English,6.260288420793835e-17,-0.10379645898651477,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
Ordinary People,Judith Guest,0.1160369662225085,Viking Press,English,-0.1507303763674979,-0.10379645898651477,3.0,-0.14645508858910858,0.14093279468090292,0.15866042033307504,-0.12253815296243814
Judy Moody,Megan McDonald,0.4646790256359841,Scholastic,English,-0.7230324017113783,-0.10379645898651477,4.17,0.10875382029793894,0.07913842305492454,0.4444088560945499,0.10029669621542767
